deployment_id,workflow,stage,owner,readiness_score,escalation_score,priority_score,high_severity_signals,customer_impact_usd,recommended_action
DEP002,maintenance intake,discovery,Product Engineering,74.2,102.3,119.1,6,241473,escalate field feedback into release planning
DEP003,exception management,staging,Product Engineering,66.8,88.4,110.0,5,193999,run readiness review with deployment and product engineering
DEP021,maintenance intake,staging,GTM Enablement,73.1,89.3,106.7,5,223918,run readiness review with deployment and product engineering
DEP027,vendor coordination,pilot,Product Ops,87.4,87.4,95.6,5,180420,escalate field feedback into release planning
DEP015,vendor coordination,staging,Deployment,78.0,79.7,93.9,4,270123,escalate field feedback into release planning
DEP012,collections follow-up,production,Product Ops,69.7,72.9,92.5,4,217490,run readiness review with deployment and product engineering
DEP014,vendor coordination,pilot,Deployment,74.5,74.7,91.2,3,201790,escalate field feedback into release planning
DEP020,delivery tracking,pilot,Product Engineering,80.6,74.4,87.0,3,125105,escalate field feedback into release planning
DEP024,collections follow-up,staging,Deployment,91.9,81.4,86.7,4,113092,escalate field feedback into release planning
DEP026,appointment scheduling,expansion,Product Engineering,73.3,67.9,85.2,2,121066,run readiness review with deployment and product engineering
DEP016,vendor coordination,staging,GTM Enablement,67.7,63.3,84.3,2,101326,run readiness review with deployment and product engineering
DEP017,delivery tracking,expansion,Product Ops,80.1,69.8,82.8,3,186834,escalate field feedback into release planning
DEP028,collections follow-up,expansion,Product Engineering,80.3,69.5,82.4,3,103576,escalate field feedback into release planning
DEP004,exception management,production,GTM Enablement,68.0,59.3,80.1,3,111759,run readiness review with deployment and product engineering
DEP022,exception management,production,Product Ops,77.1,60.7,75.6,3,87213,escalate field feedback into release planning
DEP005,exception management,pilot,Product Engineering,82.3,59.9,71.5,3,148691,escalate field feedback into release planning
DEP019,collections follow-up,production,Product Engineering,83.3,59.9,70.8,3,164852,escalate field feedback into release planning
DEP023,delivery tracking,production,Product Engineering,67.9,49.7,70.6,1,38333,run readiness review with deployment and product engineering
DEP007,vendor coordination,expansion,Deployment,72.0,45.3,63.5,1,90637,run readiness review with deployment and product engineering
DEP011,collections follow-up,production,Deployment,74.1,45.3,62.2,2,84456,increase labeling coverage before expansion
DEP025,collections follow-up,staging,Deployment,79.8,48.6,61.8,1,57652,increase labeling coverage before expansion
DEP001,collections follow-up,staging,Product Ops,76.1,44.4,59.9,2,102738,prepare expansion brief and GTM enablement
DEP008,appointment scheduling,expansion,Product Engineering,69.3,39.3,59.3,0,54380,run readiness review with deployment and product engineering
DEP010,delivery tracking,production,Deployment,69.6,39.0,58.8,1,58599,run readiness review with deployment and product engineering
DEP009,exception management,production,Deployment,81.6,38.6,50.6,1,81149,prepare expansion brief and GTM enablement
DEP013,exception management,discovery,Deployment,75.5,33.0,48.9,1,84654,prepare expansion brief and GTM enablement
DEP006,delivery tracking,production,Product Engineering,77.4,26.9,41.6,1,33632,increase labeling coverage before expansion
DEP018,delivery tracking,pilot,Deployment,77.9,18.6,32.9,0,36981,increase labeling coverage before expansion
