deployment_id,account_segment,workflow,region,system_stack,stage,owner,launch_week,arr_band,weekly_contact_volume,automation_coverage_pct,eval_pass_rate_pct,integration_readiness_pct,label_coverage_pct,open_escalations,manual_hours_remaining
DEP001,customer operations,collections follow-up,North America,TMS + voice,staging,Product Ops,2026-02-23,250k-500k,9823,81.4,78.1,63.3,81.3,2,147
DEP002,industrial services,maintenance intake,APAC,dispatch + SMS,discovery,Product Engineering,2026-02-16,250k-500k,9255,56.9,88.2,78.7,73.2,2,213
DEP003,enterprise logistics,exception management,APAC,TMS + voice,staging,Product Engineering,2026-04-13,3m+,22467,65.1,81.0,71.1,44.3,3,238
DEP004,enterprise logistics,exception management,APAC,dispatch + SMS,production,GTM Enablement,2026-04-13,500k-1m,14154,79.7,73.1,66.7,46.2,3,59
DEP005,industrial services,exception management,APAC,CRM + voice,pilot,Product Engineering,2026-04-13,500k-1m,24749,78.2,89.5,84.0,75.7,1,160
DEP006,enterprise logistics,delivery tracking,EMEA,ERP + webhook,production,Product Engineering,2026-02-23,1m-3m,23677,85.9,91.4,66.7,58.7,1,145
DEP007,customer operations,vendor coordination,LATAM,WMS + email,expansion,Deployment,2026-03-30,3m+,18371,76.9,75.6,63.3,70.6,5,41
DEP008,field operations,appointment scheduling,North America,TMS + voice,expansion,Product Engineering,2026-04-13,3m+,13346,54.9,76.0,83.9,62.4,5,46
DEP009,enterprise logistics,exception management,LATAM,ERP + webhook,production,Deployment,2026-02-16,500k-1m,14452,68.4,95.8,91.3,68.5,3,213
DEP010,field operations,delivery tracking,EMEA,TMS + voice,production,Deployment,2026-04-06,1m-3m,4780,83.0,85.3,58.0,43.0,3,39
DEP011,field operations,collections follow-up,APAC,WMS + email,production,Deployment,2026-04-20,500k-1m,12414,51.1,91.0,87.1,67.2,2,120
DEP012,industrial services,collections follow-up,North America,TMS + voice,production,Product Ops,2026-02-23,500k-1m,4408,67.7,84.9,62.6,59.9,2,26
DEP013,industrial services,exception management,APAC,CRM + voice,discovery,Deployment,2026-02-09,3m+,5376,58.7,88.7,66.1,91.6,2,186
DEP014,customer operations,vendor coordination,LATAM,TMS + voice,pilot,Deployment,2026-02-23,250k-500k,8432,66.5,93.6,60.1,76.2,5,155
DEP015,enterprise logistics,vendor coordination,North America,TMS + voice,staging,Deployment,2026-02-16,250k-500k,15517,56.3,83.6,91.2,84.8,1,142
DEP016,field operations,vendor coordination,APAC,ERP + webhook,staging,GTM Enablement,2026-02-16,3m+,8422,66.0,73.5,72.4,56.1,7,93
DEP017,enterprise logistics,delivery tracking,North America,WMS + email,expansion,Product Ops,2026-04-06,500k-1m,4426,74.1,85.6,86.4,73.0,1,190
DEP018,field operations,delivery tracking,EMEA,dispatch + SMS,pilot,Deployment,2026-03-02,1m-3m,15169,90.4,86.2,80.0,46.3,1,51
DEP019,enterprise logistics,collections follow-up,EMEA,ERP + webhook,production,Product Engineering,2026-02-16,250k-500k,13636,68.6,95.2,93.6,74.9,1,35
DEP020,field operations,delivery tracking,North America,WMS + email,pilot,Product Engineering,2026-02-09,250k-500k,5707,55.1,92.8,84.7,94.3,5,208
DEP021,field operations,maintenance intake,North America,TMS + voice,staging,GTM Enablement,2026-03-02,3m+,3644,60.7,77.3,71.0,87.2,5,18
DEP022,enterprise logistics,exception management,North America,WMS + email,production,Product Ops,2026-03-09,250k-500k,21287,76.7,78.5,86.2,64.7,4,159
DEP023,industrial services,delivery tracking,EMEA,TMS + voice,production,Product Engineering,2026-03-30,1m-3m,15516,49.9,81.1,93.5,44.1,7,176
DEP024,industrial services,collections follow-up,LATAM,CRM + voice,staging,Deployment,2026-03-02,250k-500k,7416,89.8,93.6,95.1,88.7,6,219
DEP025,industrial services,collections follow-up,EMEA,TMS + voice,staging,Deployment,2026-03-16,1m-3m,12956,87.2,93.5,66.5,66.4,6,89
DEP026,enterprise logistics,appointment scheduling,LATAM,WMS + email,expansion,Product Engineering,2026-02-02,250k-500k,5752,60.6,88.0,73.2,70.4,7,170
DEP027,field operations,vendor coordination,North America,CRM + voice,pilot,Product Ops,2026-03-30,500k-1m,19843,83.4,82.9,95.4,89.7,2,193
DEP028,enterprise logistics,collections follow-up,LATAM,ERP + webhook,expansion,Product Engineering,2026-04-13,1m-3m,15582,81.2,76.9,74.4,90.8,7,101
